description	annotation_id	genes_found	input_size	term_genes	universe	pval	pval_adj	relative_enrichment	annotsbias	genes
prostate gland development	GO:0030850	6	345	16	18004	3.228572370336369e-07	0.0007041516339703621	19.569565217391304	0	HOXA10, HOXA13, NKX3-1, HOXB13, SOX9, HOXA11
positive regulation of transcription by RNA polymerase II	GO:0045944	47	345	1172	18004	1.2115481967100555e-06	0.0013211933085123155	2.092763515852995	0	ASCL2, MYC, VDR, PRDM15, IRX3, GRHL1, CDK9, GMEB2, SENP1, HNF1B, ARNT, BMPR1B, GATA2, DLX2, MECOM, KAT7, XBP1, ATF4, ZBTB38, RFX6, CRTC2, INO80, TET2, TCF4, HOXA10, PFKM, HOXA13, NKX3-1, SPDEF, EBF2, NUCKS1, CTBP2, CD81, TP53, SOX9, FOXO3, DLX1, BHLHA15, CREB3L4, MEIS1, EVX1, ATM, ITGA6, HMGA1, GABPB2, ELK4, TBK1
purine-containing compound transmembrane transport	GO:0072530	3	345	3	18004	6.976490618539151e-06	0.005071908679677963	52.185507246376815	0	SLC22A3, SLC22A1, SLC22A2
toxin transport	GO:1901998	7	345	41	18004	1.1458654068854394e-05	0.0062478311310428586	8.909720749381407	0	SLC22A3, SLC22A1, CRTC2, DNAJC17, RAB29, SLC22A2, TCP1
cellular response to glucose starvation	GO:0042149	7	345	49	18004	3.839110806014418e-05	0.01674620133583489	7.455072463768115	0	XBP1, ATF4, NUAK2, TP53, FOXO3, BHLHA15, SESN1
regulation of mitotic cell cycle	GO:0007346	7	345	54	18004	7.292019929560819e-05	0.017007023328298305	6.764787976382179	0	MYC, TTC28, CDK9, TTLL12, CDKN1B, CDKN1C, TP53
collagen catabolic process	GO:0030574	6	345	38	18004	7.797809870838288e-05	0.017007023328298305	8.239816933638444	0	MMP21, MMP7, CTSS, ADAM15, CTSK, MMP14
regulation of cell cycle	GO:0051726	16	345	265	18004	5.57645653838906e-05	0.017007023328298305	3.1508230790265244	0	CDK18, CDK9, SKIL, MDM4, MECOM, PTEN, KAT7, INO80, CDKN1B, CDKN1C, JADE2, TP53, RUVBL1, ATM, CCND1, GAS2L1
male gonad development	GO:0008584	10	345	110	18004	5.036804808776488e-05	0.017007023328298305	4.744137022397893	0	BIK, HOXA10, BOK, NKX3-1, ADAM15, SOX9, BCL2L11, HOXA11, NCOA4, MMP14
cellular response to BMP stimulus	GO:0071773	6	345	37	18004	6.67327677440111e-05	0.017007023328298305	8.462514688601646	0	BMPR1B, SPINT1, SOX9, SPINT2, COL2A1, DLX1
dopamine uptake	GO:0090494	3	345	6	18004	0.00013365516626863156	0.020821565545134674	26.092753623188408	0	SLC22A3, SLC22A1, SLC22A2
negative regulation of photoreceptor cell differentiation	GO:0046533	3	345	6	18004	0.00013365516626863156	0.020821565545134674	26.092753623188408	0	DLX2, SOX9, DLX1
norepinephrine uptake	GO:0051620	3	345	6	18004	0.00013365516626863156	0.020821565545134674	26.092753623188408	0	SLC22A3, SLC22A1, SLC22A2
proximal/distal pattern formation	GO:0009954	5	345	26	18004	0.00011853475945258952	0.020821565545134674	10.035674470457078	0	DLX2, HOXA10, HOXA9, DLX1, HOXA11
definitive hemopoiesis	GO:0060216	4	345	15	18004	0.00015302570829320685	0.022249937985832278	13.916135265700484	0	GATA2, ADAR, ZFP36L2, MEIS1
replicative senescence	GO:0090399	4	345	16	18004	0.00020096265179647815	0.027393721473007428	13.046376811594202	0	TERT, CHEK2, TP53, ATM
serotonin uptake	GO:0051610	3	345	7	18004	0.00023057292634831675	0.02958115013915758	22.36521739130435	0	SLC22A3, SLC22A1, SLC22A2
regulation of DNA replication	GO:0006275	6	345	48	18004	0.0002951100769070631	0.030649289415919264	6.523188405797102	0	KAT7, ZBTB38, INO80, JADE2, NUCKS1, RUVBL1
response to testosterone	GO:0033574	5	345	31	18004	0.00028304801541758116	0.030649289415919264	8.417017297802712	0	HOXA10, HOXA13, NKX3-1, HOXB13, HOXA11
intrinsic apoptotic signaling pathway in response to DNA damage	GO:0008630	6	345	47	18004	0.00026240270757400927	0.030649289415919264	6.661979648473635	0	MCL1, CHEK2, BOK, SOD2, BCL2L11, ATM
extracellular matrix disassembly	GO:0022617	6	345	48	18004	0.0002951100769070631	0.030649289415919264	6.523188405797102	0	PBXIP1, MMP7, CTSS, ADAM15, CTSK, MMP14
positive regulation of amacrine cell differentiation	GO:1902871	2	345	2	18004	0.0003661538895515339	0.03327423471299564	52.18550724637681	0	DLX2, DLX1
cerebral cortex GABAergic interneuron fate commitment	GO:0021893	2	345	2	18004	0.0003661538895515339	0.03327423471299564	52.18550724637681	0	DLX2, DLX1
regulation of lens fiber cell differentiation	GO:1902746	2	345	2	18004	0.0003661538895515339	0.03327423471299564	52.18550724637681	0	CDKN1B, CDKN1C
cell cycle	GO:0007049	26	345	662	18004	0.0004579022843637668	0.03994739528789502	2.049581855597881	0	BCCIP, JTB, TTC28, ZFYVE19, WTAP, SPICE1, KNL1, CHEK2, ZWILCH, KRT18, INO80, CDKN1B, TET2, CDKN1C, HAUS6, ENSA, TIPIN, TP53, INCENP, KLLN, ARL3, HAUS8, RUVBL1, ATM, CCND1, USP39
DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	GO:0006977	4	345	20	18004	0.0005035333164919297	0.04223869858726533	10.437101449275364	0	CHEK2, CDKN1B, TP53, ATM
organic cation transport	GO:0015695	3	345	10	18004	0.0007573735505074517	0.056959714264025935	15.655652173913044	0	SLC22A3, SLC22A1, SLC22A2
regulation of transcription by RNA polymerase II	GO:0006357	51	345	1687	18004	0.0007235386016875847	0.056959714264025935	1.577629442540141	0	ASCL2, MYC, PRDM15, IRX3, ZNF215, GRHL1, KLF11, GMEB2, HNF1B, ARNT, GATA2, DLX2, MDM4, MECOM, ZNF79, ATF4, ZGPAT, IRX5, RFX6, PKNOX2, TCF4, HOXA10, HOXA9, POU5F1B, JADE2, HOXA13, NKX3-1, SLC2A4RG, SPDEF, EBF2, FOXP4, NUCKS1, HOXB13, TP53, IRX4, SOX9, LIME1, SOD2, FOXO3, DLX1, BHLHA15, CREB3L4, ZNF652, HOXA11, MEIS1, RUVBL1, EVX1, ADNP, ELK4, RFX7, KDM2A
regulation of synapse assembly	GO:0051963	3	345	10	18004	0.0007573735505074517	0.056959714264025935	15.655652173913044	0	CHRNB2, RAB17, PDLIM5
cell division	GO:0051301	18	345	414	18004	0.001114361868802223	0.0631948967836071	2.2689350976685567	0	JTB, TTC28, ZFYVE19, SPICE1, KNL1, CHEK2, ZWILCH, INO80, HAUS6, ENSA, TIPIN, INCENP, ARL3, HAUS8, RUVBL1, CCND1, TUBA1C, USP39
negative regulation of neural precursor cell proliferation	GO:2000178	3	345	11	18004	0.001026646197136097	0.0631948967836071	14.232411067193675	0	GATA2, SPINT1, SPINT2
negative regulation of transcription by RNA polymerase II	GO:0000122	32	345	936	18004	0.0011300325422103057	0.0631948967836071	1.7841199058590362	0	ASCL2, MYC, VDR, IRX3, KLF11, ZNF217, SKIL, HDAC7, GATAD2B, ATF7IP, HNF1B, GATA2, DLX2, MDM4, ZNF79, XBP1, ATF4, ZGPAT, CDKN1C, DNAJC17, JAZF1, SPDEF, FOXP4, CTBP2, HOXB13, TP53, SOX9, FOXO3, DLX1, CHD3, ELK4, CCND1
negative regulation of cyclin-dependent protein kinase activity	GO:1904030	2	345	3	18004	0.0010845086873743001	0.0631948967836071	34.79033816425121	0	CDKN1B, CDKN1C
