Database	description	annotation_id	genes_found	input_size	term_genes	universe	pval	pval_adj	relative_enrichment	OR	genes
GO_BP	prostate gland development	GO:0030850	6	345	16	18004	3.22857237033637e-07	5.40193417367419e-05	19.5695652173913	31.2371681415929	HOXA10, HOXA13, NKX3-1, HOXB13, SOX9, HOXA11
WikiPathways	DNA damage response (only ATM dependent)	WP710	13	158	114	7782	4.48293292421095e-07	5.40193417367419e-05	5.61658894070619	6.677978832366	MYC, PIK3C2B, PTEN, BIK, CDKN1B, PDK1, SHC1, TP53, SOD2, BCL2L11, FOXO3, ATM, CCND1
GO_BP	positive regulation of transcription by RNA polymerase II	GO:0045944	47	345	1172	18004	1.21154819671006e-06	9.73277051357081e-05	2.092763515853	2.31796569724087	ASCL2, MYC, VDR, PRDM15, IRX3, GRHL1, CDK9, GMEB2, SENP1, HNF1B, ARNT, BMPR1B, GATA2, DLX2, MECOM, KAT7, XBP1, ATF4, ZBTB38, RFX6, CRTC2, INO80, TET2, TCF4, HOXA10, PFKM, HOXA13, NKX3-1, SPDEF, EBF2, NUCKS1, CTBP2, CD81, TP53, SOX9, FOXO3, DLX1, BHLHA15, CREB3L4, MEIS1, EVX1, ATM, ITGA6, HMGA1, GABPB2, ELK4, TBK1
GO_BP	toxin transport	GO:1901998	7	345	41	18004	1.14586540688544e-05	0.000690383907648478	8.90972074938141	10.7357292029238	SLC22A3, SLC22A1, CRTC2, DNAJC17, RAB29, SLC22A2, TCP1
GO_BP	cellular response to glucose starvation	GO:0042149	7	345	49	18004	3.83911080601442e-05	0.00185045140849895	7.45507246376811	8.68688362919132	XBP1, ATF4, NUAK2, TP53, FOXO3, BHLHA15, SESN1
GO_BP	cellular response to BMP stimulus	GO:0071773	6	345	37	18004	6.67327677440111e-05	0.00234909022359003	8.46251468860165	10.0645161290323	BMPR1B, SPINT1, SOX9, SPINT2, COL2A1, DLX1
GO_BP	regulation of mitotic cell cycle	GO:0007346	7	345	54	18004	7.29201992956082e-05	0.00234909022359003	6.76478797638218	7.76054387511016	MYC, TTC28, CDK9, TTLL12, CDKN1B, CDKN1C, TP53
GO_BP	collagen catabolic process	GO:0030574	6	345	38	18004	7.79780987083829e-05	0.00234909022359003	8.23981693363844	9.74944690265487	MMP21, MMP7, CTSS, ADAM15, CTSK, MMP14
WikiPathways	ATM signaling pathway	WP2516	6	158	40	7782	0.000138112227390479	0.00368791956986629	7.3879746835443	8.81191950464396	MDM4, RAD51, CHEK2, TP53, RAD9A, ATM
GO_BP	definitive hemopoiesis	GO:0060216	4	345	15	18004	0.000153025708293207	0.00368791956986629	13.9161352657005	18.8195147960544	GATA2, ADAR, ZFP36L2, MEIS1
