block	start	stop	num_variants	num_variants_in	num_variants_in_0.95	num_variants_in_0.5	num_CS95	num_variants_CS95	num_variants_in_CS95	risk	h2_beta_mean	h2_beta_sd
1	14457117	15199286	640	57	0	0	0	0	0	FALSE	5.20843214210438e-6	1.65449072265801e-5
2	15202502	15229803	53	12	0	0	0	0	0	FALSE	5.70396607509095e-7	4.22715736885527e-6
3	15248281	15863004	2210	412	0	0	0	0	0	FALSE	1.40051516204337e-5	1.72516858649457e-5
4	15864345	17724889	3502	817	0	0	0	0	0	FALSE	4.72684544365738e-5	4.38204628745283e-5
5	17726841	17827995	294	68	0	0	0	0	0	FALSE	2.08264924121142e-6	5.76553868778451e-6
6	17830006	18000279	135	33	0	0	0	0	0	FALSE	1.46966621128654e-6	6.55533933014921e-6
7	18002476	18825044	2156	443	0	0	0	0	0	FALSE	2.80184201488263e-5	3.65052238797201e-5
8	18825247	19133448	667	136	0	0	0	0	0	FALSE	6.45775059317047e-6	1.27498760471573e-5
9	19133902	19481009	534	120	0	0	0	0	0	FALSE	4.73178609665518e-6	1.067956255301e-5
10	19481354	19563533	207	78	0	0	0	0	0	FALSE	3.11195653863057e-6	8.77978854021199e-6
11	19568486	19687087	182	59	0	0	0	0	0	FALSE	2.04625733384451e-6	6.53967010669584e-6
12	19688786	20702944	2757	438	0	0	0	0	0	FALSE	1.78674775604322e-5	2.10371647003008e-5
13	20703201	21804099	3038	643	0	0	0	0	0	FALSE	2.17892041606551e-5	2.06256388293909e-5
14	21806238	22073572	1159	186	0	0	0	0	0	FALSE	5.18681132688512e-6	8.82779028188833e-6
15	22073757	22184341	438	83	0	0	0	0	0	FALSE	2.78867481644341e-6	8.1382765152791e-6
16	22186320	22483987	877	181	0	0	0	0	0	FALSE	7.22833919127441e-6	1.32383280835844e-5
17	22486902	23273692	2254	412	0	0	0	0	0	FALSE	1.50429928164135e-5	1.79113334204962e-5
18	23278744	23321572	107	34	0	0	0	0	0	FALSE	1.4474349361572e-6	5.58363056951605e-6
19	23324390	24052491	1910	430	0	0	0	0	0	FALSE	1.93920427277715e-5	2.27152969651728e-5
20	24056148	25091082	2815	548	0	0	0	0	0	FALSE	2.26289388409146e-5	2.42830959338283e-5
21	25091738	25246682	490	110	0	0	0	0	0	FALSE	3.60249118563258e-6	8.03448349020864e-6
22	25247908	25503676	1009	120	0	0	0	0	0	FALSE	4.6813103998001e-6	1.07467437470632e-5
23	25506358	25964286	1468	215	0	0	0	0	0	FALSE	6.98447587879508e-6	1.16452714208915e-5
24	25964628	27844411	4580	995	0	0	0	0	0	FALSE	5.20877741783249e-5	4.52214215432843e-5
25	27845535	28390248	1787	364	0	0	0	0	0	FALSE	1.23762162934375e-5	1.64222314531118e-5
26	28390415	28619820	745	144	0	0	0	0	0	FALSE	5.45914811764926e-6	1.23023114794036e-5
27	28619941	29285222	1743	394	0	0	0	0	0	FALSE	1.45537600837282e-5	1.78940399064257e-5
28	29293960	29447435	367	45	0	0	0	0	0	FALSE	1.35002060701756e-6	5.41139704327881e-6
29	29447474	31489945	5368	770	0	0	0	0	0	FALSE	3.89319958693226e-5	3.48346833333909e-5
30	31490476	32216253	2243	276	0	0	0	0	0	FALSE	1.91668038026575e-5	2.6819456628839e-5
31	32217530	32766747	1319	274	0	0	0	0	0	FALSE	1.08031342509329e-5	1.7225838144924e-5
32	32769461	33525636	1970	506	0	0	0	0	0	FALSE	1.72515434447426e-5	1.86894608498422e-5
33	33529177	34376120	1919	439	0	0	0	0	0	FALSE	1.67841099066484e-5	1.9756877960219e-5
34	34377552	34510880	234	84	0	0	0	0	0	FALSE	3.09161007419774e-6	7.95293135857429e-6
35	34512570	36278942	3845	1052	0	0	0	0	0	FALSE	7.29719561278843e-5	5.25637290678087e-5
36	36279713	36338848	125	27	0	0	0	0	0	FALSE	1.06505041779319e-6	4.73204836211654e-6
37	36340733	36689751	770	217	0	0	0	0	0	FALSE	1.029386545592e-5	1.71691088693774e-5
38	36689908	37307002	1588	342	0	0	0	0	0	FALSE	1.42234469574912e-5	1.89823075835609e-5
39	37307358	37870289	1900	378	0	0	0	0	0	FALSE	3.33332835333563e-5	3.85120783157098e-5
40	37872004	38041699	488	94	0	0	0	0	0	FALSE	4.00375541070064e-6	9.46802329383552e-6
41	38043108	38121537	154	73	0	0	0	0	0	FALSE	2.82252245661068e-5	5.1133812244152e-5
42	38124803	38152533	51	15	0	0	0	0	0	FALSE	5.85357666913025e-7	3.3294637910036e-6
43	38156170	39253134	2792	598	0	0	0	0	0	FALSE	2.33801135612747e-5	2.39675579614821e-5
44	39255190	39831660	1276	292	0	0	0	0	0	FALSE	1.2692153192277e-5	1.88326369786673e-5
45	39833491	40114690	629	178	0	0	0	0	0	FALSE	9.02708222302117e-6	1.81009711159606e-5
46	40120198	40451794	776	192	0	0	0	0	0	FALSE	5.93750555954485e-5	5.71952998283646e-5
47	40452693	41106071	1837	309	0	0	0	0	0	FALSE	1.65451171120791e-5	2.27419856847974e-5
48	41110282	41278341	752	134	0	0	0	0	0	FALSE	4.93044134670256e-6	1.02034263207506e-5
49	41278903	41345994	159	59	0	0	0	0	0	FALSE	1.66236332042898e-6	4.99050908511148e-6
50	41347909	41802772	1192	335	0	0	0	0	0	FALSE	1.56350025532827e-5	2.2146918863739e-5
51	41804904	42225339	1309	293	0	0	0	0	0	FALSE	1.43318083754142e-5	2.08987448918609e-5
52	42226080	42546461	839	206	0	0	0	0	0	FALSE	7.83217799526686e-6	1.32590488901661e-5
53	42548224	42955066	1154	397	1	2	2	9	3	TRUE	7.30357660796761e-4	1.65897913260962e-4
54	43006801	43074545	166	62	0	0	0	0	0	FALSE	2.6814918610295e-6	7.95825434046075e-6
55	43076149	43346911	901	306	0	0	0	0	0	FALSE	1.60517211257186e-5	2.46101481074959e-5
56	43348187	43444414	288	103	0	0	0	0	0	FALSE	8.38059693498233e-6	1.85197670118504e-5
57	43448797	43728695	1036	291	0	0	0	0	0	FALSE	8.74161587772299e-6	1.19267928650228e-5
58	43729034	43808927	260	96	0	0	0	0	0	FALSE	4.37440421747365e-6	1.04491315369873e-5
59	43809092	44594706	2840	641	0	0	0	0	0	FALSE	2.66490905957937e-5	2.60661654172279e-5
60	44596949	44631463	59	19	0	0	0	0	0	FALSE	6.1210166507396e-7	3.24770977514901e-6
61	44700912	44734007	65	21	0	0	0	0	0	FALSE	6.12687571076541e-7	3.11688062743189e-6
62	44734578	46042537	3092	844	0	0	0	0	0	FALSE	5.73377983169608e-5	4.62243263053572e-5
63	46045383	46175366	552	96	0	0	0	0	0	FALSE	3.99650827595826e-6	1.06985719864072e-5
64	46176453	46337127	543	168	0	0	0	0	0	FALSE	7.19072122037043e-6	1.3450869249636e-5
65	46337271	46760744	1165	293	0	0	0	0	0	FALSE	1.37921904596166e-5	1.97308596936675e-5
66	46761760	47498238	1919	482	0	0	0	0	0	FALSE	2.27664835483959e-5	2.59367081948049e-5
67	47498550	48100155	2124	378	0	0	0	0	0	FALSE	1.40824143750363e-5	1.81962222642435e-5
