Factor	GEO	CistromeDB	type	OR	phyper	phyper.adjust
H3K27ac	GSM1249447	43059	HM	3.94821861368041	6.4321981821735e-75	3.6663529638389e-73
H3K4me3	GSM945240	45430	HM	3.69923748166104	4.91391100097472e-32	2.75179016054584e-30
H3K36me3	GSM875814	9314	HM	2.66859145035527	2.53083554550164e-30	1.3919595500259e-28
H3K9ac	GSM2527582	101869	HM	2.88907392899164	8.44566268571872e-25	4.56065785028811e-23
DNaseI	GSM736603	45027	DNaseI	2.87393431059863	2.90944250879564e-24	1.54200452966169e-22
H3K4me1	GSM2187238	70052	HM	2.06954948346607	2.11635284004331e-23	1.10050347682252e-21
AR	GSM1328945	44574	TF	5.2377257750459	4.01640966018169e-23	2.04836892669266e-21
FOXA1	GSM1068136	50039	TF	1.79494918975493	2.08102076783071e-16	1.04051038391536e-14
NKX3.1	GSM989640	36252	TF	2.97562907991786	1.16826862211279e-15	5.72451624835267e-14
NR3C1	GSM980660	37091	TF	4.30249820022758	2.72477041933203e-15	1.30788980127937e-13
ASH2L	GSM1489926	51332	TF	4.64482927347193	8.15574431946547e-15	3.83319983014877e-13
HDAC3	GSM717403	8662	TF	5.75207766289303	2.27868066178188e-13	1.04819310441966e-11
VDR	GSM1576449	55164	TF	3.1784443658665	3.20076332315729e-13	1.44034349542078e-11
TLE3	GSM2480825	88689	TF	3.05399439143016	3.61065321252854e-12	1.58868741351256e-10
ETV1	GSM1145322	39372	TF	4.26640047378261	3.68540306741483e-12	1.58868741351256e-10
GATA2	GSM1600544	52057	TF	2.7205319593963	3.72057487831035e-12	1.58868741351256e-10
SUMO2	GSM1622627	55353	TF	3.07000680076072	4.67969126921997e-12	1.91867342038019e-10
HOXB13	GSM1716764	56664	TF	3.2933760334995	7.18435291130965e-12	2.87374116452386e-10
H3K79me2	GSM2700580	102559	HM	2.74102695776943	2.59113621315959e-11	1.01054312313224e-09
ERG	GSM1193657	47408	TF	4.1640288161358	2.73842325745432e-11	1.04060083783264e-09
POLR2A	GSM1383875	48755	TF	2.91549733069555	1.56151689148877e-10	5.77761249850845e-09
RUNX2	GSM838400	5373	TF	2.33706805808999	1.51760248911741e-09	5.46336896082269e-08
SUPT5H	GSM1679115	58338	TF	3.060955272096	4.54212295156744e-09	1.5897430330486e-07
E2F1	GSM1656410	53013	TF	2.52721361765216	9.89561277196609e-09	3.36450834246847e-07
GABPA	GSM1193660	47411	TF	2.75569640948949	9.53070800445399e-08	3.14513364146982e-06
MED1	GSM1679096	58319	TF	3.96875065578567	2.09850238853258e-07	6.71520764330425e-06
PIAS1	GSM1354834	51052	TF	3.69296924009337	1.1896674413206e-06	3.68796906809385e-05
ERF	GSM2612449	81883	TF	5.6797643952675	6.30465784635221e-06	0.000189139735390566
H3K4me2	GSM3140905	89250	HM	4.65544212266489	1.72543262136657e-05	0.000500375460196304
TRIM24	GSM1697902	69202	TF	2.58137992369494	2.91401479612186e-05	0.000815924142914122
ARID1A	GSM2480807	88426	TF	2.90356097863955	3.64820097283946e-05	0.000985014262666654
DAXX	GSM1678029	54104	TF	1.80638678807126	4.23401403062362e-05	0.00110084364796214
BRD4	GSM1328975	44600	TF	2.1907230417993	4.49765463376266e-05	0.00112441365844066
HNF4G	GSM2277166	87802	TF	2.62682539995159	4.5702181945629e-05	0.00112441365844066
H3K27me3	GSM1383872	48752	HM	3.99112284014976	0.000144979631719792	0.00333453152955521
GRHL2	GSM2122802	74842	TF	3.82861665740481	0.000206054900220722	0.00453320780485588
RELA	GSM2219879	71202	TF	3.64297062991436	0.000311944005724946	0.00655082412022386
BRD3	GSM1328972	44597	TF	1.9675758646322	0.000453804821113266	0.00907609642226533
HDAC1	GSM717399	8658	TF	2.68476095035283	0.000707500940173044	0.0134425178632878
CREB1	GSM1538431	67718	TF	2.03609207053649	0.000766361090067095	0.0137944996212077
HIF1A	GSM3145502	104801	TF	1.84617593015797	0.00103704743814675	0.0176298064484947
KDM1A	GSM1374122	75942	TF	2.28445618571055	0.00136981445494168	0.021917031279067
TCF7L2	GSM1249449	43061	TF	2.09492778222912	0.00209689742566361	0.0314534613849542
ZMYND8	GSM2187248	76673	TF	1.75425257834318	0.00225353045780045	0.0315494264092063
REPIN1	GSM714610	35828	TF	3.19578670038224	0.00254291337407867	0.0330578738630228
CBX8	GSM2572272	92064	TF	1.54157813339232	0.00282426108706784	0.0338911330448141
ETS1	GSM1424526	49238	TF	1.94530140091881	0.00572813624467338	0.0630094986914071
EPAS1	GSM3145501	104802	TF	2.77517104623641	0.00623817021177602	0.0630094986914071
BRD2	GSM1328969	44594	TF	1.82206059573473	0.0065460984264508	0.0630094986914071
CTCF	GSM1006874	45976	TF	1.57078819931184	0.0115346496675801	0.092277197340641
MYC	GSM1907203	76152	TF	2.7044101306338	0.0401202726835021	0.280841908784515
TRIM28	GSM2891164	93736	TF	1.60027595812443	0.0898653168924154	0.539191901354492
ZFX	GSM2825161	101082	TF	1.0938109670692	0.105965863281682	0.539191901354492
JUND	GSM738818	5925	TF	2.00314817270865	0.108357134451819	0.539191901354492
POU2F1	GSM3507239	103925	TF	1.28906998388523	0.120069483686544	0.539191901354492
EZH2	GSM717405	8664	TF	1.68258055674554	0.179987485761276	0.539191901354492
TP63	GSM1056847	41284	TF	1.17429995444484	0.469921027363454	0.539191901354492
